ID,SALES_PRICE,FINISHED_AREA,BEDROOMS,BATHROOMS,GARAGE_SIZE,YEAR_BUILT,STYLE,LOT_SIZE,AIR_CONDITIONER,POOL,QUALITY,HIGHWAY
1,360,3032,4,4,2,1972,1,22221,YES,NO,MEDIUM,NO
2,340,2058,4,2,2,1976,1,22912,YES,NO,MEDIUM,NO
3,250,1780,4,3,2,1980,1,21345,YES,NO,MEDIUM,NO
4,205.5,1638,4,2,2,1963,1,17342,YES,NO,MEDIUM,NO
5,275.5,2196,4,3,2,1968,3,21786,YES,NO,MEDIUM,NO
6,248,1966,4,3,5,1972,1,18902,YES,YES,MEDIUM,NO
7,229.9,2216,3,2,2,1972,3,18639,YES,NO,MEDIUM,NO
8,150,1597,2,1,1,1955,1,22112,YES,NO,MEDIUM,NO
9,195,1622,3,2,2,1975,1,14321,YES,NO,LOW,NO
10,160,1976,3,3,1,1918,1,32358,NO,NO,LOW,NO
11,190,2812,7,5,2,1966,3,56639,NO,YES,LOW,NO
12,559,2791,3,4,3,1992,1,30595,YES,NO,HIGH,NO
13,535,3381,5,4,3,1988,3,23172,YES,NO,HIGH,NO
14,525,3459,5,4,2,1978,3,35351,YES,NO,HIGH,NO
15,299.9,2090,3,3,2,1987,1,24025,YES,NO,MEDIUM,NO
16,527,3232,5,5,2,1984,3,21445,YES,NO,MEDIUM,NO
17,169.9,1502,2,2,2,1956,1,28958,YES,NO,MEDIUM,NO
18,335.25,2747,3,4,2,1993,3,22241,YES,NO,MEDIUM,NO
19,323.9,2890,4,3,2,1954,3,41992,YES,NO,MEDIUM,NO
20,200,1825,3,3,2,1957,1,30266,YES,NO,MEDIUM,NO
21,211,1578,4,3,2,1986,2,18829,YES,NO,MEDIUM,NO
22,212,1763,3,3,2,1959,1,24726,YES,NO,MEDIUM,NO
23,245,2517,4,3,2,1965,1,23261,YES,NO,MEDIUM,NO
24,140.4,1872,3,2,2,1985,2,24017,YES,NO,MEDIUM,NO
25,295,3266,3,3,2,1908,3,24881,YES,NO,MEDIUM,NO
26,170.9,2020,1,2,1,1956,1,21385,YES,NO,MEDIUM,NO
27,229,2164,4,2,2,1965,1,28291,YES,NO,MEDIUM,NO
28,218.5,2080,3,2,2,1959,1,14752,YES,YES,MEDIUM,NO
29,160,2208,2,2,2,1985,3,8058,YES,NO,MEDIUM,NO
30,259,3048,6,4,3,1960,3,29307,YES,NO,MEDIUM,NO
31,164.5,1460,3,2,2,1978,1,9999,YES,NO,MEDIUM,NO
32,280,2540,3,2,2,1940,3,42428,NO,NO,MEDIUM,NO
33,154,2208,2,2,2,1985,3,6746,YES,NO,MEDIUM,NO
34,272,2560,4,2,3,1977,3,36100,YES,NO,MEDIUM,NO
35,180,2061,4,2,2,1958,1,20138,NO,NO,MEDIUM,NO
36,157.5,1980,3,2,2,1957,1,32519,YES,NO,MEDIUM,NO
37,242.5,3308,5,4,2,1928,3,47323,YES,NO,MEDIUM,NO
38,182,2616,5,3,2,1955,3,11123,NO,NO,LOW,NO
39,178,1460,4,2,2,1961,1,27095,YES,NO,LOW,NO
40,171.9,1580,2,1,1,1951,2,12417,NO,NO,LOW,NO
